brand,model,year,km_driven,fuel_type,transmission,owner_type,mileage_kmpl,engine_cc,power_bhp,seats,location,selling_price_lakhs
Maruti,Ertiga,2016,116379,Petrol,Manual,First,13.3,2494,163.4,5.0,Chennai,4.89
Tata,Nexon,2009,182483,Diesel,Manual,First,13.6,1197,83.0,5.0,Pune,0.8
Tata,Tiago,2013,141811,Diesel,Manual,First,15.2,998,76.5,5.0,Bangalore,2.93
Tata,Harrier,2008,208307,Petrol,Manual,First,13.9,2494,167.1,,Lucknow,0.8
Maruti,Ertiga,2015,124155,Diesel,Automatic,Second,14.8,1197,83.5,5.0,Bangalore,4.0
Toyota,Fortuner,2015,102389,Petrol,Manual,Third,19.4,796,54.7,5.0,Hyderabad,1.68
Toyota,Etios,2015,128329,Diesel,Manual,Third,17.7,1248,85.7,5.0,Kolkata,3.65
Volkswagen,Vento,2013,143572,Diesel,Manual,Second,15.0,998,74.7,5.0,Delhi,1.21
Toyota,Glanza,2011,161580,Petrol,Manual,First,14.4,1248,89.9,5.0,Lucknow,1.7
Toyota,Etios,2018,93234,Electric,Manual,First,15.4,1248,81.9,5.0,Kolkata,8.3
Toyota,Etios,2011,160178,CNG,Automatic,First,19.0,796,61.0,7.0,Ahmedabad,0.8
Volkswagen,Polo,2008,194212,Petrol,Automatic,Third,15.9,1997,145.8,5.0,Hyderabad,0.8
Maruti,Swift,2017,105585,Diesel,Manual,First,16.2,998,58.8,7.0,Chennai,1.97
Toyota,Glanza,2019,83435,CNG,Manual,Second,16.1,796,49.5,,Chennai,5.88
Maruti,Swift,2014,152586,Electric,Manual,Second,15.1,1498,93.1,5.0,Hyderabad,3.67
Hyundai,Verna,2024,30319,Petrol,Manual,Second,14.0,998,53.3,5.0,Mumbai,7.47
Toyota,Glanza,2011,171665,Petrol,Automatic,Third,12.9,1248,89.3,5.0,Ahmedabad,0.8
Maruti,WagonR,2015,134733,Petrol,Automatic,First,16.5,1197,83.9,7.0,Delhi,3.47
Ford,EcoSport,2021,60510,Petrol,Automatic,First,12.9,2996,201.4,5.0,Kolkata,9.55
Volkswagen,Polo,2012,163481,Petrol,Manual,First,15.1,796,44.3,7.0,Kolkata,0.8
Mahindra,XUV300,2024,40227,CNG,Manual,Third,10.8,796,63.8,5.0,Delhi,7.86
Maruti,Alto,2021,62601,Electric,Manual,First,13.1,2996,200.7,5.0,Kolkata,10.14
Toyota,Innova,2013,135809,Diesel,Manual,First,13.8,1197,87.9,5.0,Pune,3.45
Maruti,WagonR,2024,26141,Petrol,Manual,First,14.2,1197,80.5,5.0,Mumbai,6.53
Ford,Endeavour,2011,169158,Diesel,Manual,Second,13.8,1997,128.8,4.0,Mumbai,1.5
Hyundai,Creta,2018,85182,Diesel,Automatic,First,16.9,796,47.8,5.0,Jaipur,4.62
Toyota,Innova,2014,136974,Petrol,Manual,First,12.5,1197,84.7,7.0,Bangalore,1.78
Mahindra,XUV500,2024,32276,Petrol,Manual,Third,16.4,1498,104.0,5.0,Lucknow,8.89
Honda,Jazz,2016,94380,CNG,Manual,Second,12.5,2494,160.9,7.0,Kolkata,5.15
Audi,A4,2014,128524,Petrol,Manual,Second,15.4,998,66.9,5.0,Lucknow,6.71
Honda,Jazz,2022,22821,Diesel,Manual,Second,17.0,1248,83.6,7.0,Mumbai,8.35
Mahindra,Bolero,2021,75781,Petrol,Automatic,First,14.2,1248,74.8,5.0,Pune,6.99
Hyundai,Creta,2020,65722,Petrol,Manual,First,16.9,796,48.3,7.0,Pune,4.78
Mahindra,XUV500,2018,106477,Diesel,Automatic,Third,15.1,796,52.6,5.0,Lucknow,5.16
Ford,Figo,2020,70443,Petrol,Manual,First,12.8,1997,135.7,5.0,Jaipur,7.68
Honda,WR-V,2024,24748,Petrol,Manual,Second,13.3,1997,140.0,4.0,Delhi,9.91
Volkswagen,Polo,2009,186447,Petrol,Manual,First,16.0,796,48.8,5.0,Jaipur,0.8
Hyundai,Creta,2012,154346,Petrol,Manual,Fourth & Above,17.7,1197,77.4,5.0,Pune,0.8
Toyota,Innova,2008,195870,CNG,Automatic,Second,14.5,1498,102.4,5.0,Delhi,0.8
Tata,Tiago,2014,133837,CNG,Automatic,First,15.7,998,68.6,5.0,Kolkata,3.21
Maruti,WagonR,2021,60163,Petrol,Manual,First,19.9,1197,77.8,4.0,Mumbai,4.85
Honda,Amaze,2022,42509,CNG,Manual,Third,15.6,796,56.8,5.0,Chennai,6.36
Maruti,Alto,2021,41359,Electric,Automatic,Second,17.8,1498,107.7,5.0,Bangalore,9.87
Honda,Amaze,2009,197389,Electric,Manual,First,15.8,1197,85.4,5.0,Kolkata,2.69
BMW,3 Series,2022,29225,Petrol,Manual,First,14.9,998,65.3,5.0,Jaipur,26.96
Maruti,Swift,2019,79741,Diesel,Manual,First,13.9,2494,174.4,4.0,Jaipur,5.39
Mahindra,XUV300,2010,178999,Petrol,Manual,First,14.0,1248,75.8,5.0,Kolkata,0.8
Tata,Nexon,2009,202702,Diesel,Manual,First,15.2,998,78.9,5.0,Lucknow,0.8
Tata,Nexon,2013,142971,CNG,Automatic,Second,11.7,1997,130.1,5.0,Jaipur,2.54
BMW,3 Series,2009,175917,Diesel,Automatic,First,11.8,1997,142.1,,Chennai,0.8
Maruti,Dzire,2024,36495,Electric,Manual,Third,12.7,2996,200.5,5.0,Jaipur,11.22
Tata,Altroz,2014,148602,Diesel,Manual,Second,15.0,796,52.0,5.0,Hyderabad,0.8
Toyota,Etios,2020,70569,Petrol,Manual,First,15.8,1498,99.7,5.0,Chennai,9.66
Tata,Tiago,2012,143042,Electric,Automatic,Second,13.1,1997,138.6,5.0,Ahmedabad,6.14
Mahindra,XUV300,2012,161618,Petrol,Manual,Fourth & Above,22.3,796,61.5,5.0,Lucknow,0.8
Ford,Figo,2011,154782,Petrol,Manual,Second,12.9,998,73.4,5.0,Hyderabad,0.8
Tata,Harrier,2017,98141,Petrol,Automatic,First,12.5,1997,132.3,5.0,Pune,6.82
Hyundai,i20,2014,145734,Petrol,Manual,Fourth & Above,18.6,1248,83.0,5.0,Mumbai,0.8
Maruti,Ertiga,2023,50518,Diesel,Manual,Second,13.0,1248,79.0,5.0,Delhi,6.2
Maruti,WagonR,2022,52242,Diesel,Manual,Third,16.0,1248,80.6,,Lucknow,5.1
Maruti,WagonR,2008,199527,Petrol,Manual,Third,13.7,1248,83.9,7.0,Pune,0.8
Honda,Jazz,2018,80492,Petrol,Manual,First,14.3,2494,164.3,5.0,Chennai,6.25
Maruti,Ertiga,2012,155203,Electric,Manual,Second,16.7,998,69.9,7.0,Kolkata,3.07
Mahindra,Bolero,2015,127713,Diesel,Automatic,Second,17.6,1997,138.2,5.0,Pune,5.17
Toyota,Innova,2018,95211,CNG,Manual,First,14.7,1498,98.4,6.0,Hyderabad,6.9
Maruti,Ertiga,2014,115843,Petrol,Manual,First,17.1,1498,92.1,5.0,Kolkata,2.18
Hyundai,i20,2018,95854,Diesel,Manual,Second,11.4,2996,,5.0,Jaipur,5.93
Honda,Jazz,2023,39071,Diesel,Automatic,Second,17.0,796,47.1,5.0,Pune,9.83
Honda,Jazz,2009,180368,Petrol,Manual,First,14.3,1997,128.2,5.0,Bangalore,0.8
Maruti,Alto,2014,139591,Diesel,Manual,First,13.7,1498,106.9,5.0,Kolkata,2.82
Maruti,Baleno,2022,54602,Electric,Manual,Second,13.9,2494,159.3,6.0,Hyderabad,10.57
Volkswagen,Vento,2024,25484,Petrol,Automatic,First,18.2,796,54.3,5.0,Bangalore,9.58
Toyota,Glanza,2024,17620,Diesel,Automatic,First,13.7,1197,84.6,5.0,Delhi,14.87
Hyundai,Verna,2009,200421,Petrol,Manual,Second,15.3,796,55.0,5.0,Ahmedabad,0.8
Volkswagen,Polo,2021,46193,Petrol,Manual,Second,15.0,796,48.0,6.0,Jaipur,7.53
Tata,Harrier,2015,130821,CNG,Manual,First,10.6,2494,158.8,7.0,Ahmedabad,3.03
Honda,WR-V,2015,118385,Diesel,Manual,Fourth & Above,11.6,1997,141.1,5.0,Jaipur,2.63
Tata,Harrier,2010,169973,CNG,Manual,First,15.6,1997,144.7,5.0,Lucknow,1.11
Mahindra,XUV500,2023,24435,Diesel,Manual,First,14.2,998,58.9,5.0,Chennai,7.7
Honda,Jazz,2011,149048,CNG,Manual,Second,17.9,1248,81.0,7.0,Hyderabad,0.8
Ford,Figo,2010,181698,Diesel,Manual,First,16.2,998,66.4,,Pune,0.8
Mahindra,XUV500,2010,180062,Electric,Automatic,Second,12.1,2996,203.0,7.0,Mumbai,5.86
Hyundai,Verna,2018,77350,Diesel,Manual,First,17.0,796,53.8,7.0,Bangalore,4.18
Hyundai,Creta,2016,111284,Diesel,Manual,First,16.4,796,49.4,5.0,Delhi,2.59
Tata,Tiago,2014,122639,Diesel,Automatic,First,10.4,1997,131.1,7.0,Bangalore,4.38
Hyundai,Creta,2013,130738,Petrol,Automatic,First,18.1,998,61.6,5.0,Kolkata,2.7
Honda,WR-V,2011,154024,CNG,Manual,Second,10.8,1997,135.6,5.0,Bangalore,0.8
Maruti,Swift,2016,109298,Diesel,Manual,First,12.3,2996,210.5,5.0,Ahmedabad,5.63
Volkswagen,Vento,2024,17165,Diesel,Manual,First,11.9,2996,200.9,5.0,Bangalore,11.74
Maruti,Swift,2012,163603,Diesel,Manual,First,11.7,2494,163.2,5.0,Chennai,3.6
Toyota,Fortuner,2015,128968,Petrol,Manual,First,14.9,796,52.0,7.0,Delhi,2.37
Honda,Jazz,2017,105653,Diesel,Manual,Fourth & Above,12.0,2996,202.4,5.0,Hyderabad,6.03
Hyundai,i20,2016,105908,Petrol,Manual,First,14.0,1248,82.1,7.0,Jaipur,3.15
Tata,Altroz,2014,121651,Diesel,Automatic,First,12.5,2996,200.6,7.0,Pune,5.7
Volkswagen,Polo,2020,66243,Petrol,Manual,Second,9.0,2996,194.9,5.0,Mumbai,6.9
Mahindra,Bolero,2014,129996,Diesel,Automatic,First,,796,55.8,5.0,Lucknow,3.84
Maruti,Baleno,2009,199356,Petrol,Manual,Second,13.9,2996,201.1,4.0,Kolkata,2.15
Mahindra,Scorpio,2019,86010,Diesel,Manual,Fourth & Above,14.6,2494,169.9,,Jaipur,5.91
Hyundai,Verna,2011,161848,Diesel,Automatic,Second,14.2,1498,100.8,5.0,Pune,1.65
Tata,Harrier,2012,162192,Diesel,Manual,Second,14.2,2494,161.3,5.0,Lucknow,2.61
Mahindra,Scorpio,2013,145889,Petrol,Automatic,First,15.2,796,52.7,5.0,Chennai,2.29
Mahindra,Bolero,2020,68430,Petrol,Manual,First,13.3,998,67.2,5.0,Hyderabad,4.82
BMW,5 Series,2010,154287,Petrol,Automatic,Third,10.4,2996,194.2,5.0,Pune,0.8
Tata,Tiago,2010,172285,Petrol,Automatic,Second,15.7,796,,7.0,Hyderabad,1.1
Maruti,Dzire,2017,98467,Petrol,Manual,First,13.5,2494,173.7,5.0,Lucknow,5.12
Honda,WR-V,2018,96568,Petrol,Automatic,First,12.5,1997,134.4,5.0,Chennai,7.34
Volkswagen,Vento,2019,83354,Diesel,Manual,First,13.5,998,63.7,5.0,Pune,4.91
BMW,3 Series,2016,111604,Petrol,Automatic,First,18.7,796,58.1,5.0,Jaipur,3.83
Toyota,Fortuner,2013,139412,Petrol,Automatic,First,16.0,2996,207.9,5.0,Pune,5.29
Mahindra,Scorpio,2017,100027,Electric,Automatic,First,17.6,1248,83.8,5.0,Kolkata,10.0
Ford,Figo,2021,69628,Petrol,Manual,Fourth & Above,16.0,2996,204.1,5.0,Ahmedabad,7.16
Honda,Amaze,2014,121140,Diesel,Automatic,First,15.0,1248,74.0,5.0,Bangalore,4.15
Toyota,Innova,2015,98923,Diesel,Manual,Third,16.1,1997,129.9,7.0,Lucknow,4.73
Volkswagen,Vento,2018,90383,Electric,Manual,First,17.1,1197,84.8,7.0,Lucknow,7.59
Ford,EcoSport,2019,79940,Diesel,Manual,Fourth & Above,14.8,998,60.6,4.0,Kolkata,3.44
Toyota,Innova,2011,168870,Diesel,Automatic,First,13.5,1997,128.1,5.0,Pune,3.51
Mahindra,XUV300,2016,106343,Petrol,Manual,Second,15.4,998,65.3,5.0,Ahmedabad,2.54
Hyundai,i20,2018,91434,Diesel,Manual,First,16.4,1197,75.3,5.0,Pune,4.88
Hyundai,Venue,2022,50942,Petrol,Automatic,First,12.3,2494,161.3,4.0,Lucknow,9.41
Hyundai,Venue,2021,61874,CNG,Manual,Second,16.3,1197,75.0,5.0,Mumbai,5.3
Honda,WR-V,2015,120604,Petrol,Manual,Second,13.4,1997,132.0,7.0,Chennai,3.62
Hyundai,Creta,2010,184025,Diesel,Automatic,First,19.6,1248,80.5,7.0,Kolkata,2.04
Maruti,Ertiga,2011,171639,Petrol,Manual,First,13.9,1498,94.6,5.0,Lucknow,0.8
Maruti,Dzire,2015,126874,CNG,Manual,First,12.7,1997,125.0,5.0,Lucknow,2.76
Toyota,Innova,2012,161801,Petrol,Manual,First,,2996,197.1,7.0,Pune,3.01
Honda,Jazz,2016,119774,Petrol,Manual,First,18.5,1498,106.9,5.0,Pune,4.65
Hyundai,Venue,2020,73254,Electric,Manual,First,15.6,998,64.3,4.0,Kolkata,6.88
Maruti,Dzire,2017,78860,Electric,Manual,First,12.6,1248,83.6,4.0,Lucknow,5.89
Maruti,Ertiga,2015,109394,Petrol,Manual,First,15.4,998,68.4,5.0,Pune,2.2
Maruti,Swift,2024,21487,Petrol,Manual,First,11.8,2494,162.7,5.0,Jaipur,7.59
Honda,WR-V,2020,72485,Diesel,Manual,Second,17.5,796,61.1,5.0,Kolkata,6.18
Hyundai,Venue,2012,140604,Petrol,Manual,Second,14.6,796,53.9,5.0,Delhi,0.8
Hyundai,Creta,2020,63589,Petrol,Manual,Third,13.4,1997,133.4,5.0,Jaipur,5.22
Maruti,Ertiga,2019,75602,Petrol,Manual,Second,9.0,2996,204.6,5.0,Ahmedabad,6.52
Honda,Jazz,2020,58568,Petrol,Manual,Second,11.2,1248,82.5,5.0,Mumbai,6.29
Toyota,Fortuner,2011,161766,Petrol,Manual,First,16.7,796,48.2,4.0,Pune,0.8
Tata,Harrier,2010,185776,Petrol,Manual,First,12.2,2996,199.6,5.0,Delhi,2.31
Maruti,WagonR,2010,174811,Electric,Manual,First,17.1,1197,70.8,7.0,Hyderabad,2.75
Maruti,Baleno,2012,153141,Petrol,Manual,Fourth & Above,15.9,1498,99.8,5.0,Jaipur,0.8
Maruti,WagonR,2010,192266,Petrol,Manual,First,15.2,1498,100.2,5.0,Delhi,0.8
Toyota,Etios,2010,168783,Petrol,Automatic,First,16.1,1997,142.9,5.0,Delhi,2.68
Hyundai,Venue,2012,140491,Petrol,Manual,First,15.3,2494,164.5,5.0,Pune,2.87
Hyundai,i20,2019,79042,Electric,Automatic,First,18.1,998,82.8,5.0,Chennai,8.79
Honda,Jazz,2018,87560,CNG,Manual,Second,16.2,1197,87.4,6.0,Pune,5.29
Honda,Jazz,2016,108917,Petrol,Manual,Second,17.0,1498,104.3,7.0,Delhi,3.99
Maruti,Alto,2017,108714,Petrol,Manual,First,12.3,1997,130.5,4.0,Mumbai,4.73
Mahindra,XUV500,2012,157733,Diesel,Manual,Second,17.4,796,54.8,5.0,Pune,0.87
Honda,Amaze,2021,71875,Petrol,Manual,First,16.6,1498,100.0,5.0,Bangalore,7.42
Maruti,Baleno,2017,86139,Petrol,Manual,First,14.0,1248,81.8,5.0,Ahmedabad,4.0
Maruti,Alto,2014,143849,Petrol,Manual,Second,12.1,2494,166.3,5.0,Pune,3.59
Toyota,Etios,2021,46942,Petrol,Manual,First,15.9,1197,76.1,5.0,Hyderabad,9.11
Hyundai,i20,2009,187001,Diesel,Manual,First,16.0,998,70.0,7.0,Jaipur,0.8
Toyota,Etios,2016,99233,Petrol,Automatic,First,14.0,1197,80.8,7.0,Jaipur,6.59
BMW,X1,2024,21475,Petrol,Automatic,Second,,796,,5.0,Delhi,32.68
Ford,EcoSport,2008,193058,Petrol,Manual,Second,15.0,1197,79.8,5.0,Jaipur,0.8
Ford,Endeavour,2022,53880,Petrol,Manual,Second,12.4,2494,162.1,7.0,Jaipur,9.05
Mahindra,Scorpio,2008,201011,Diesel,Automatic,First,14.2,998,67.2,5.0,Jaipur,0.8
Toyota,Innova,2018,80593,Petrol,Manual,First,16.2,998,65.4,5.0,Ahmedabad,4.65
Honda,City,2019,76127,Diesel,Manual,First,15.4,796,58.3,5.0,Chennai,4.93
Toyota,Fortuner,2019,74167,Petrol,Manual,Second,10.9,2996,193.7,5.0,Jaipur,7.26
Hyundai,i10,2019,79846,Petrol,Manual,Second,13.5,2996,200.6,5.0,Kolkata,7.03
Honda,Amaze,2011,178371,CNG,Manual,Third,12.8,2494,170.5,7.0,Mumbai,1.71
Hyundai,Venue,2018,84998,Electric,Manual,First,15.4,998,64.2,5.0,Ahmedabad,7.64
Audi,A6,2015,126108,CNG,Manual,Second,11.5,2996,201.2,5.0,Delhi,14.15
Tata,Tiago,2024,9138,CNG,Manual,First,15.4,1498,103.1,5.0,Lucknow,7.88
Toyota,Fortuner,2020,69582,Petrol,Manual,Third,16.2,1248,79.4,,Lucknow,6.65
Honda,WR-V,2019,70420,Petrol,Manual,Second,19.0,796,53.2,7.0,Kolkata,4.87
Mahindra,XUV500,2017,110886,Petrol,Manual,First,15.1,1248,90.6,5.0,Delhi,4.61
Maruti,Baleno,2011,159434,Petrol,Automatic,First,13.8,998,73.5,5.0,Pune,2.0
Hyundai,Verna,2010,181953,CNG,Manual,Third,15.2,1197,97.3,5.0,Hyderabad,0.8
Tata,Harrier,2010,170522,Petrol,Manual,First,17.1,1248,74.0,6.0,Delhi,0.8
Volkswagen,Vento,2020,67711,Electric,Manual,Third,14.6,1498,98.0,5.0,Jaipur,7.67
Toyota,Innova,2010,174487,Petrol,Automatic,First,17.3,1248,76.1,5.0,Kolkata,0.8
Hyundai,Venue,2021,47773,Petrol,Manual,Third,15.4,1197,77.4,5.0,Pune,5.76
Mahindra,Scorpio,2011,167947,Petrol,Automatic,First,12.7,2494,168.0,4.0,Lucknow,2.92
Honda,Amaze,2013,142775,Petrol,Automatic,First,11.6,2996,205.8,6.0,Hyderabad,6.04
Honda,Amaze,2012,142986,Diesel,Automatic,First,13.1,1997,140.4,5.0,Hyderabad,2.84
Maruti,Baleno,2017,104203,Petrol,Manual,First,12.5,1248,78.6,5.0,Delhi,3.47
Mahindra,Bolero,2011,171528,Electric,Manual,First,12.9,2494,165.2,5.0,Kolkata,4.63
Maruti,Ertiga,2013,146662,Diesel,Manual,First,16.4,2494,156.9,5.0,Delhi,3.65
Honda,WR-V,2011,168889,Petrol,Manual,Third,18.5,998,58.9,5.0,Lucknow,0.8
Mahindra,XUV500,2008,201364,Electric,Manual,First,15.8,796,50.7,5.0,Hyderabad,0.8
Ford,Endeavour,2012,154557,Petrol,Manual,Third,12.7,1997,127.0,5.0,Mumbai,0.8
Volkswagen,Polo,2021,69506,Diesel,Manual,First,13.7,1498,100.7,5.0,Mumbai,7.71
Mahindra,Bolero,2021,47289,Diesel,Automatic,Second,14.1,998,68.6,5.0,Chennai,8.31
Toyota,Etios,2016,98027,Diesel,Manual,First,14.7,998,75.1,5.0,Delhi,4.56
Toyota,Fortuner,2018,83626,Diesel,Manual,Third,15.0,1248,78.8,5.0,Chennai,5.07
Tata,Tiago,2010,167019,Petrol,Manual,First,13.7,1248,82.5,5.0,Hyderabad,0.8
Maruti,Alto,2023,34136,Petrol,Automatic,Second,14.0,1498,92.2,5.0,Jaipur,7.68
BMW,3 Series,2020,59084,Diesel,Automatic,First,15.3,1197,81.1,5.0,Hyderabad,23.22
Honda,Jazz,2024,30475,Diesel,Manual,Second,,2494,162.3,5.0,Lucknow,9.76
Hyundai,Creta,2010,179263,Petrol,Manual,Second,16.5,1197,70.7,5.0,Kolkata,0.8
Hyundai,i10,2021,50228,Petrol,Automatic,First,17.7,1248,87.3,5.0,Hyderabad,7.69
Mahindra,XUV500,2009,213083,Diesel,Manual,Second,15.5,1197,77.1,5.0,Ahmedabad,0.8
Maruti,Dzire,2014,128055,Petrol,Manual,Third,18.9,998,70.2,5.0,Delhi,0.8
Honda,City,2017,109875,CNG,Automatic,Second,15.9,796,47.6,5.0,Chennai,3.5
Toyota,Innova,2020,54910,Petrol,Automatic,Fourth & Above,18.9,998,65.4,5.0,Chennai,6.44
Honda,Amaze,2016,91088,CNG,Manual,Third,10.9,2494,160.8,5.0,Kolkata,4.21
Maruti,Ertiga,2022,51806,Petrol,Manual,Second,17.8,998,68.4,5.0,Pune,4.05
Honda,WR-V,2017,99845,CNG,Manual,Second,12.4,1248,78.7,,Bangalore,2.94
Hyundai,Venue,2015,135967,Electric,Manual,Second,13.8,2494,162.5,5.0,Delhi,7.05
Toyota,Innova,2009,184314,Petrol,Automatic,Second,10.4,2996,199.8,5.0,Pune,1.76
Mahindra,Bolero,2014,135350,Diesel,Automatic,Second,17.3,1197,89.9,5.0,Delhi,4.41
Hyundai,i10,2016,93313,Diesel,Automatic,Second,16.0,796,58.3,6.0,Jaipur,6.22
Honda,Jazz,2010,175657,Petrol,Manual,Second,12.1,2996,199.6,5.0,Mumbai,0.96
Mahindra,Bolero,2024,13377,Petrol,Manual,Second,12.6,1997,136.7,5.0,Chennai,10.99
Hyundai,Venue,2018,86328,Diesel,Manual,First,19.7,1248,79.4,5.0,Mumbai,4.96
Maruti,Dzire,2015,130010,Petrol,Manual,First,17.2,1197,85.2,5.0,Kolkata,3.21
Maruti,Swift,2013,154752,Diesel,Automatic,Second,15.3,998,75.9,5.0,Bangalore,3.27
Honda,City,2018,96271,Petrol,Manual,First,14.6,1997,133.2,5.0,Lucknow,6.38
Maruti,Baleno,2019,84412,Petrol,Manual,Fourth & Above,10.8,2494,172.9,5.0,Delhi,4.87
Toyota,Etios,2021,59912,Petrol,Manual,First,13.1,2996,196.2,5.0,Kolkata,11.07
Tata,Harrier,2008,205483,Petrol,Manual,First,12.6,2494,163.6,5.0,Hyderabad,0.8
Hyundai,Creta,2015,117246,Diesel,Manual,Second,15.3,1997,145.4,5.0,Mumbai,3.18
Hyundai,Creta,2018,92976,Petrol,Automatic,Second,14.7,2996,195.9,,Pune,7.44
